2025-04-10 12:52:05 PM, 0dd852, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:05 PM, c8d11c, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:05 PM, e1920b, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, ea92ec, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 683e9a, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, de5f0e, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 455fa1, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 8411a2, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 3bb595, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 50678e, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 0f5e7e, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 1765a0, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, b9999c, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 878c9a, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 86c5d8, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 5e93c6, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, d9c96b, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 91d7cd, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 7e6ee7, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, c3b1af, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 5da33e, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 0d3359, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 0cda12, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 6a4d2f, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 939b4c, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 3e59a4, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 40776f, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:06 PM, 57a070, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:07 PM, 9b7448, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:07 PM, 0f3d17, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:07 PM, f177e4, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
2025-04-10 12:52:07 PM, 054907, Telem_2023_3_12 16_26_4.txt, 10.0.0.225, 1895 points, 0.0013
